Timestamp,Voltage (mV)
2024-12-11 12:11:22,-0.13
2024-12-11 12:11:23,-0.13
2024-12-11 12:11:24,-0.13
2024-12-11 12:11:25,-0.13
2024-12-11 12:11:26,-0.13
2024-12-11 12:11:27,-0.13
2024-12-11 12:11:28,-0.22
2024-12-11 12:11:30,-0.11
2024-12-11 12:11:31,1.13
2024-12-11 12:11:32,1.15
2024-12-11 12:11:33,1.07
2024-12-11 12:11:34,0.87
2024-12-11 12:11:35,0.70
2024-12-11 12:11:36,-0.45
2024-12-11 12:11:37,-0.86
2024-12-11 12:11:38,-1.06
2024-12-11 12:11:39,-1.06
2024-12-11 12:11:40,-0.98
2024-12-11 12:11:41,-0.87
2024-12-11 12:11:42,-0.79
2024-12-11 12:11:43,-0.72
2024-12-11 12:11:45,-0.67
2024-12-11 12:11:46,-0.61
2024-12-11 12:11:47,-0.57
2024-12-11 12:11:48,-0.53
2024-12-11 12:11:49,-0.50
2024-12-11 12:11:50,-0.46
2024-12-11 12:11:51,-0.43
2024-12-11 12:11:52,-0.40
2024-12-11 12:11:53,-0.38
2024-12-11 12:11:54,-0.35
2024-12-11 12:11:55,-0.33
2024-12-11 12:11:56,-0.31
2024-12-11 12:11:57,-0.29
2024-12-11 12:11:58,-0.28
2024-12-11 12:11:59,-0.27
2024-12-11 12:12:01,-0.26
2024-12-11 12:12:02,-0.25
2024-12-11 12:12:03,-0.24
2024-12-11 12:12:04,-0.23
2024-12-11 12:12:05,-0.22
2024-12-11 12:12:06,-0.22
2024-12-11 12:12:07,-0.21
2024-12-11 12:12:08,-0.20
2024-12-11 12:12:09,-0.20
2024-12-11 12:12:10,-0.20
2024-12-11 12:12:11,-0.19
2024-12-11 12:12:12,-0.18
2024-12-11 12:12:13,-0.18
2024-12-11 12:12:14,-0.18
2024-12-11 12:12:15,-0.17
2024-12-11 12:12:17,-0.17
2024-12-11 12:12:18,-0.16
2024-12-11 12:12:19,-0.16
2024-12-11 12:12:20,-0.15
2024-12-11 12:12:21,-0.15
2024-12-11 12:12:22,-0.15
2024-12-11 12:12:23,-0.14
2024-12-11 12:12:24,-0.14
2024-12-11 12:12:25,-0.13
2024-12-11 12:12:26,-0.13
2024-12-11 12:12:27,-0.12
2024-12-11 12:12:28,-0.12
2024-12-11 12:12:29,-0.11
2024-12-11 12:12:30,-0.11
2024-12-11 12:12:32,-0.11
2024-12-11 12:12:33,-0.11
2024-12-11 12:12:34,-0.11
2024-12-11 12:12:35,-0.11
2024-12-11 12:12:36,-0.11
2024-12-11 12:12:37,-0.11
2024-12-11 12:12:38,-0.11
2024-12-11 12:12:39,-0.11
2024-12-11 12:12:40,-0.11
2024-12-11 12:12:41,-0.11
2024-12-11 12:12:42,-0.10
2024-12-11 12:12:43,-0.10
2024-12-11 12:12:44,-0.11
2024-12-11 12:12:45,-0.04
2024-12-11 12:12:46,-0.00
2024-12-11 12:12:48,-0.03
2024-12-11 12:12:49,-0.06
2024-12-11 12:12:50,-0.09
2024-12-11 12:12:51,-0.09
2024-12-11 12:12:52,-0.11
2024-12-11 12:12:53,-0.15
2024-12-11 12:12:54,-0.16
2024-12-11 12:12:55,-0.16
2024-12-11 12:12:56,-0.19
2024-12-11 12:12:57,-0.22
2024-12-11 12:12:58,-0.22
2024-12-11 12:12:59,-0.21
2024-12-11 12:13:00,-0.23
2024-12-11 12:13:01,-0.26
2024-12-11 12:13:03,-0.26
2024-12-11 12:13:04,-0.24
2024-12-11 12:13:05,-0.25
2024-12-11 12:13:06,-0.25
2024-12-11 12:13:07,-0.25
2024-12-11 12:13:08,-0.24
2024-12-11 12:13:09,-0.24
2024-12-11 12:13:10,-0.25
2024-12-11 12:13:11,-0.25
2024-12-11 12:13:12,-0.25
2024-12-11 12:13:13,-0.23
2024-12-11 12:13:14,-0.24
2024-12-11 12:13:15,-0.25
2024-12-11 12:13:16,-0.23
2024-12-11 12:13:17,-0.21
2024-12-11 12:13:19,-0.23
2024-12-11 12:13:20,-0.24
2024-12-11 12:13:21,-0.23
2024-12-11 12:13:22,-0.23
2024-12-11 12:13:23,-0.23
2024-12-11 12:13:24,-0.24
2024-12-11 12:13:25,-0.24
2024-12-11 12:13:26,-0.23
2024-12-11 12:13:27,-0.23
2024-12-11 12:13:28,-0.24
2024-12-11 12:13:29,-0.24
2024-12-11 12:13:30,-0.23
2024-12-11 12:13:31,-0.22
2024-12-11 12:13:32,-0.23
2024-12-11 12:13:33,-0.24
2024-12-11 12:13:35,-0.22
2024-12-11 12:13:36,-0.21
2024-12-11 12:13:37,-0.21
2024-12-11 12:13:38,-0.22
2024-12-11 12:13:39,-0.23
2024-12-11 12:13:40,-0.24
2024-12-11 12:13:41,-0.24
2024-12-11 12:13:42,-0.24
2024-12-11 12:13:43,-0.24
2024-12-11 12:13:44,-0.23
2024-12-11 12:13:45,-0.22
2024-12-11 12:13:46,-0.11
2024-12-11 12:13:47,-0.01
2024-12-11 12:13:48,-0.01
2024-12-11 12:13:50,-0.03
2024-12-11 12:13:51,-0.05
2024-12-11 12:13:52,0.02
2024-12-11 12:13:53,0.04
2024-12-11 12:13:54,-0.05
2024-12-11 12:13:55,-0.25
2024-12-11 12:13:56,-0.32
2024-12-11 12:13:57,-0.23
2024-12-11 12:13:58,-0.25
2024-12-11 12:13:59,-0.49
2024-12-11 12:14:00,-0.50
2024-12-11 12:14:01,-0.36
2024-12-11 12:14:02,-0.37
2024-12-11 12:14:03,-0.61
2024-12-11 12:14:04,-0.74
2024-12-11 12:14:06,-0.70
2024-12-11 12:14:07,-0.43
2024-12-11 12:14:08,-0.37
2024-12-11 12:14:09,-0.59
2024-12-11 12:14:10,-0.69
2024-12-11 12:14:11,-0.69
2024-12-11 12:14:12,-0.42
2024-12-11 12:14:13,-0.58
2024-12-11 12:14:14,-0.67
2024-12-11 12:14:15,-0.66
2024-12-11 12:14:16,-0.40
2024-12-11 12:14:17,-0.38
2024-12-11 12:14:18,-0.59
2024-12-11 12:14:19,-0.60
2024-12-11 12:14:21,-0.42
2024-12-11 12:14:22,-0.40
2024-12-11 12:14:23,-0.66
2024-12-11 12:14:24,-0.62
2024-12-11 12:14:25,-0.54
2024-12-11 12:14:26,-0.40
2024-12-11 12:14:27,-0.47
2024-12-11 12:14:28,-0.66
2024-12-11 12:14:29,-0.62
2024-12-11 12:14:30,-0.43
2024-12-11 12:14:31,-0.36
2024-12-11 12:14:32,-0.63
2024-12-11 12:14:33,-0.62
2024-12-11 12:14:34,-0.56
2024-12-11 12:14:35,-0.35
2024-12-11 12:14:37,-0.60
2024-12-11 12:14:38,-0.59
2024-12-11 12:14:39,-0.58
2024-12-11 12:14:40,-0.57
2024-12-11 12:14:41,-0.54
2024-12-11 12:14:42,-0.50
2024-12-11 12:14:43,-0.46
2024-12-11 12:14:44,-0.42
2024-12-11 12:14:45,-0.39
2024-12-11 12:14:46,-0.38
2024-12-11 12:14:47,-0.36
2024-12-11 12:14:48,-0.36
2024-12-11 12:14:49,-0.34
2024-12-11 12:14:50,-0.33
2024-12-11 12:14:51,-0.31
2024-12-11 12:14:53,-0.29
2024-12-11 12:14:54,-0.28
2024-12-11 12:14:55,-0.27
2024-12-11 12:14:56,-0.27
2024-12-11 12:14:57,-0.26
2024-12-11 12:14:58,-0.25
2024-12-11 12:14:59,-0.24
2024-12-11 12:15:00,-0.24
2024-12-11 12:15:01,-0.23
2024-12-11 12:15:02,-0.22
